timestep,demand,raw_core_demand,active_vm_count
54,0.982184342372905,111435.20866484081,860682
55,0.9808054978579899,111278.76977693844,860333
56,0.984177959989742,111661.39756395665,867161
57,0.98631300963465,111903.632847524,867693
58,0.9850455928870092,111759.8361653274,866726
59,0.9856258016251408,111825.66462441957,867337
60,0.9866377479142305,111940.47651972009,866115
61,0.9856067206017555,111823.49975807956,865452
62,0.985798410715183,111845.24824954623,866542
63,0.9883473413902111,112134.44103076868,868401
64,0.9911003009583338,112446.78221834908,870561
65,0.9924404068362892,112598.8259556603,870820
66,0.9942354323779606,112802.48329081148,871408
67,0.992216759047579,112573.45165785574,870899
68,0.992760656865476,112635.16040662612,866774
69,0.9904950430718079,112378.11177027605,864974
70,0.9897607303149369,112294.79920688344,865854
71,0.987879306942767,112081.33947532416,866362
72,0.9889284836936723,112200.37540892595,868914
73,0.9880053747053064,112095.64268381406,867187
74,0.9870046903209392,111982.10852493081,864234
75,0.9873626754663882,112022.72427053071,864421
76,0.9911153673895899,112448.49160307294,867829
77,0.9892762447711497,112239.83116744536,868065
78,0.9850898917591474,111764.86216080237,865689
79,0.9853736085260658,111797.051675295,866134
80,0.9842773679279184,111672.6760417899,868469
81,0.9870561137910944,111987.9428524392,871268
82,0.9874067441465268,112027.72414922454,869404
83,0.9866072407445224,111937.01528268389,868391
84,0.9866953605177542,111947.0130447067,865981
85,0.9862085995096195,111891.7868390228,866438
86,0.9884621134184843,112147.46266465934,866907
87,0.9887307985604855,112177.9467434339,867020
88,0.9906005300121606,112390.07995048673,868123
89,0.9899384473034198,112314.96235634583,867784
90,0.9902011580872572,112344.76860528754,866525
91,0.9896896144222307,112286.73064581887,866608
92,0.9905820638933346,112387.98484907263,865482
93,0.9894856987856754,112263.59508915273,865266
94,0.9880068077325255,112095.80527008254,865478
95,0.986464883512737,111920.86392784693,864568
96,0.9882375279854875,112121.98198500543,865858
97,0.9865075100924374,111925.7001908565,863277
98,0.9856381301055406,111827.06337079192,861953
99,0.9846379304075772,111713.58420273698,861824
100,0.9847235198114194,111723.29487787726,861860
101,0.9837089712326162,111608.1877358652,859962
102,0.9829760577517425,111525.03392944518,860755
103,0.9817943636186406,111390.96303600975,859899
104,0.9853399110741706,111793.22847997269,863221
105,0.982739047191497,111498.14353820466,860155
106,0.9819127759155056,111404.39768207402,857618
107,0.9812098559281068,111324.646832777,857498
108,0.9826899144255199,111492.5691060001,859344
109,0.9878477018384064,112077.75367045295,861830
110,0.9858555017308034,111851.72559698914,861169
111,0.9780215937917562,110962.91773456709,856805
112,0.9790615496341691,111080.90749606291,857211
113,0.9804284340440077,111235.98943217185,856557
114,0.978837948230213,111055.5384609107,855822
115,0.9871463870375896,111998.18494002506,860292
116,0.986557523323805,111931.37451759234,860031
117,0.9856084965160579,111823.70124712019,859060
118,0.985779724840085,111843.12821535223,859188
119,0.987565932779344,112045.78513609813,860028
120,0.9915575204226799,112498.65674354456,862669
121,0.9970775150373257,113124.9360733756,863037
122,1.0027987284348092,113774.04498425928,865759
123,1.0034636030002613,113849.4793327219,866186
124,1.0057599002181503,114110.00920333024,867644
125,1.0044707478102672,113963.74646895783,866513
126,1.005721688726363,114105.67386079115,867401
127,1.0037896967635063,113886.4767933653,866210
128,1.0056761680738118,114100.5092463733,868043
129,1.0050545423739612,114029.98176330743,867112
130,1.010027378058112,114594.18234991067,869058
131,1.006094686973348,114147.99294051093,865928
132,1.007278406009243,114282.29357235243,866796
133,1.0056598709106677,114098.66022710344,866235
134,1.004806521016633,114001.84212544635,864874
135,1.0037278098434341,113879.4553193361,864483
136,1.0045180575766433,113969.11406998806,867027
137,1.0062114277053023,114161.23793665248,866721
138,0.9996857976692516,113420.86272054995,864425
139,0.9963448746715627,113041.81325364318,862871
